Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8
26,AAB,1ST,1194267627897667584,1194266066404417536,,1193973128805986305,INTENDED
27,AA,1ST,1186629292874260481,1186620871999406081,,,INTENDED
28,AA,1ST,1195061868211003397,1195057198285516800,,,INTENDED
29,ABABC,1ST,1198990412691759104,1198981434813403137,1198984170724352001,1198917679417102336,INTENDED
30,ABC,3RD,1199215779373338624,1199067554448396292,1199215156905033728,,PERCEIVED
31,ABAC,1ST,1198295829410451457,1198290556344045570,1198293550405947392,1197559374471925760,INTENDED
32,ABAB,1ST,1199870001320210434,1199869555939643392,1199869873242787840,1199868228798840832,INTENDED
33,AAB,1ST,1197853356317908993,1197852904406822913,,1197556157977710595,INTENDED
34,ABAB,1ST,1192786425751777283,1192624871714574337,1192654876712550400,1192621061189308416,INTENDED
35,ABA,1ST,1198388715552411650,1198381326795235330,1198388244767002626,,INTENDED
36,ABA,1ST,1190393741997162496,1190385742553464832,1190387008910372864,,INTENDED
37,AAB,1ST,1193851291535065091,1193843528704700416,,1193235975427776512,INTENDED
38,ABAB,1ST,1196104515302428672,1196103716262359040,1196104119171342342,1196103101813538818,INTENDED
39,ABAC,1ST,1187143555992768513,1187073189756784645,1187143287699697664,1187072657243693056,INTENDED
40,ABAC,1ST,1196214828869804032,1196207866153250816,1196208226473263104,1196207684829270018,INTENDED
41,ABACD,1ST,1189618179418611712,1189593766128041984,1189594694566547456,1189592563352776704,INTENDED
42,ABCAD,1ST,1197519538717413376,1197343233161994240,,1197341302972649473,INTENDED
43,ABAB,1ST,1202848228661776384,1202846750828105728,1202847039286992896,1202844913844408320,INTENDED
44,AAB,1ST,1202856985097654272,1201949846556610561,,1201178049766711297,INTENDED
45,ABABC,3RD,1197799385343676416,1197595804963237888,,,PERCEIVED
46,AB,2ND,1202591003632381952,1202573390076416000,,,PERCEIVED
47,AB,2ND,1191393268891889674,1191363701187784704,,,PERCEIVED
48,ABAC,1ST,1191304246718877697,1191294001590292480,1191303907806498825,1191284180942041089,INTENDED
49,ABCADE,1ST,1188828682510618624,1188825304657256455,,1188820536710877185,INTENDED
50,AB,2ND,1198412414699442176,1198411714267623424,,,PERCEIVED
51,AB,2ND,1189627089298874368,1189571600812773379,,,PERCEIVED
52,AA,1ST,1195239322489737217,1195209027350749184,,,INTENDED
53,ABA,1ST,1201716752712900608,1201698172168548352,1201698996001087489,,INTENDED
54,AB,2ND,1189621262231969793,1189620930777141248,,,PERCEIVED
55,ABAB,1ST,1190604611205390341,1190590606004948993,1190593710846873600,1190393169394974723,INTENDED
56,ABABCD,1ST,1199023901096833026,1198999951751012352,1199001696887816192,1198984830320594945,INTENDED
57,ABABBBBBB,1ST,1185774251019624448,1185689377659179009,1185773188128616448,1185501816567541760,INTENDED
58,ABAC,1ST,1202425898349322242,1202421530065543168,1202424828755685376,1202334125883084801,INTENDED
59,ABCAB,1ST,1187474538117783554,1187337761898029056,,1187313389900574722,INTENDED
60,ABA,1ST,1196375699805868032,1196348825541189633,1196370829166161920,,INTENDED
61,ABCAC,1ST,1192501454604558336,1192491236055236608,,1192490840012124160,INTENDED
62,AB,2ND,1196837470266150912,1196837137234178049,,,PERCEIVED
63,ABC,3RD,1187392451511836673,1187326059487924229,1187391958605541378,,PERCEIVED
64,ABAC,1ST,1199767247310315520,1199757595822575617,1199762959251062784,1199757306956845056,INTENDED
65,ABAC,1ST,1186394413070569472,1186083360893878272,1186374855639343104,1186080410658398208,INTENDED
66,ABAC,1ST,1199827539994300416,1199518492707426304,1199825013563629569,1199432946442231808,INTENDED
67,ABABC,1ST,1193620217554972673,1193618056062353408,1193619328639238145,1193616933272219648,INTENDED
68,ABACD,1ST,1196474723103756289,1196449728784789505,1196470556167589890,1196322291786878977,INTENDED
69,ABAC,1ST,1191074742608027650,1190769634292748288,1191070218451345408,1190767823875915776,INTENDED
70,ABA,2ND,1196068470997311488,1196065849066622976,,1196027243123871745,PERCEIVED
71,AB,2ND,1196826877052309504,1196806928585895941,,,PERCEIVED
72,ABABCDC,1ST,1197700319737712642,1197699511377973255,1197699949770821632,1197689134707564544,INTENDED
73,ABACD,1ST,1190940172470423552,1190654352010203136,1190907497961476096,1190653670431580160,INTENDED
74,AABCBDE,1ST,1197952985416052736,1197843817124257793,,1197839623562641408,INTENDED
75,ABA,2ND,1200920183633776641,1200914482324787202,,1200900325374337026,PERCEIVED
76,ABAC,1ST,1190305869466091526,1190134147752304641,1190190244576055298,1190125427114659841,INTENDED
77,ABAC,1ST,1192246889321644033,1192170401238962176,1192231404626731009,1192166594153086976,INTENDED
78,ABAC,1ST,1199542838456750080,1199504654557515777,1199523122774454273,1199501870470959106,INTENDED
79,ABACDEDEFEFEFEFEEG,1ST,1200616990844407808,1200615000718499840,1200616755166531584,1200613603558051840,INTENDED
80,ABAB,1ST,1191177935669084160,1191171633026916352,1191177842891141120,1191162572483026944,INTENDED
81,ABAC,1ST,1187202084258664449,1187070823443636224,1187178580024815618,1187003839779610624,INTENDED
82,ABAC,1ST,1199038492107517952,1199037129025826816,1199038134304067584,1198824127123075072,INTENDED
83,AABC,1ST,1189922951874912257,1189921334966525952,,1189905719002324993,INTENDED
84,ABA,1ST,1190756008450297858,1190707904766205955,1190755721018630144,,INTENDED
85,ABACBD,1ST,1188196371276468229,1188190354236940289,1188193835869855744,1188164545434570755,INTENDED
86,ABABCD,1ST,1199843773930360833,1199819683630706688,1199842655464820737,1199750188258209792,INTENDED
87,ABA,2ND,1200943305003012096,1200938585878355973,,1200932767095312384,PERCEIVED
88,ABAC,1ST,1196142125378760704,1196141606274908160,1196141687686533122,1196141350577528832,INTENDED
89,ABAC,1ST,1193794187331682306,1193658025422147584,1193658604730998784,1193342176329007105,INTENDED
90,ABA,1ST,1197289553582788609,1196907467353001989,1197171558202200066,,INTENDED
91,ABABCDE,1ST,1198391463177904128,1198166171834413063,1198286604923740161,1198156868008448000,INTENDED
92,AB,2ND,1200996092730658817,1200994602066464768,,,PERCEIVED
93,ABA,1ST,1202420190463442944,1202418837829763074,1202419846249668608,,INTENDED
94,ABA,1ST,1189616168375595009,1189608552786206723,1189615738358644736,,INTENDED
95,ABA,1ST,1193630884009795590,1193629933668569088,1193630812077514754,,INTENDED
96,ABAC,1ST,1200504014284173316,1200501089130438656,1200503792057364483,1200500860050190336,INTENDED
97,ABC,3RD,1200481884637143041,1200110043653398530,1200477318361354241,,PERCEIVED
98,ABAB,1ST,1189924279577710592,1189910827668852737,1189922382934237184,1189627532246519808,INTENDED
99,ABAC,1ST,1193129301715161088,1192923545384443904,1192998318013595648,1192816276588109824,INTENDED
100,ABABC,1ST,1196417439707410437,1196359094745083905,1196359736775585793,1196358627810054144,INTENDED
101,ABAC,1ST,1202714000385073152,1202711232903557121,1202712015661199360,1202709818689150978,INTENDED
102,ABABC,1ST,1189705251936493568,1189696628007018496,1189698310644420608,1189666471602991104,INTENDED
103,ABAB,1ST,1201186131548786694,1201176701520232448,1201180589551951872,1201036244333015040,INTENDED
104,ABABC,1ST,1192824827393929216,1192823788666269697,1192824263440396288,1192619302186127360,INTENDED
105,ABAB,1ST,1196614563338129408,1196568650712436737,1196606918934089729,1196547724163850241,INTENDED
106,ABAC,1ST,1200481328535195648,1200277768446992386,1200479629590630400,1200276251283349506,INTENDED
107,ABAC,1ST,1185578980495245312,1185571393867583488,1185576306949480453,1185571191236517888,INTENDED
108,ABA,2ND,1187544664586493954,1187544203301183488,,1187543869405224962,PERCEIVED
109,AB,2ND,1185728405406396416,1185726355914272768,,,PERCEIVED
110,ABCB,3RD,1193927522641174528,1193717717729083392,1193718221842583552,1193717460677136389,PERCEIVED
111,AB,2ND,1192632292927328258,1191569510001709056,,,PERCEIVED
112,ABA,1ST,1201757451214700544,1201619173211660289,1201719352526946304,,INTENDED
113,ABAC,1ST,1197151526223003649,1197131664918536194,1197146986002051075,1196835495252127745,INTENDED
114,ABACD,1ST,1201554956483842048,1201357650312585216,1201389156280070144,1201175019658842112,INTENDED
115,AABB,1ST,1195120194210992131,1195119981542940672,,1195119073073541120,INTENDED
116,AB,2ND,1192769317437345793,1192752904568016896,,,PERCEIVED
117,ABAB,1ST,1187252152634433536,1187249855468576769,1187250848314863616,1187242008307490816,INTENDED
118,ABAC,1ST,1193306993223585792,1193300991019323392,1193306544743559169,1193297254540439552,INTENDED
119,ABACDE,1ST,1195426012818886656,1195397575458902017,1195420734870478849,1195388978490417152,INTENDED
120,ABC,3RD,1199283146115731456,1199151667729588224,1199216621300191237,,PERCEIVED
121,AB,2ND,1194473378763010048,1194468421091516419,,,PERCEIVED
122,ABAC,1ST,1185940725122420739,1185939450792157187,1185940315242405888,1185911953908289536,INTENDED
123,AB,2ND,1188481546967277574,1188481070926188544,,,PERCEIVED
124,ABCAD,1ST,1197913791339450369,1197788195355680771,,1197782541656195077,INTENDED
125,ABAB,1ST,1191348683612282882,1191348413880778752,1191348593988395010,1191347674496348163,INTENDED
126,ABCB,3RD,1196499112679464962,1196496873399427072,1196497322827534337,1196452465169895424,PERCEIVED
127,ABABBCD,1ST,1194038790039326720,1194035620181471234,1194036725355630592,1194023965922074629,INTENDED
128,ABAC,1ST,1200989905847017473,1200987275049480193,1200988839327805440,1197191788961906693,INTENDED
129,ABAC,1ST,1196153853131067393,1196152938219102209,1196153187083812864,1196150387331489796,INTENDED
130,AB,2ND,1194360780919054336,1194360236208820225,,,PERCEIVED
131,ABAC,1ST,1190267895042969600,1190058134544494592,1190084636417777664,1190050578887585797,INTENDED
132,AB,2ND,1191027718676254720,1190809746347085824,,,PERCEIVED
133,ABA,1ST,1188270488839184391,1188268211181162497,1188269732299968513,,INTENDED
134,ABA,1ST,1193445282933039104,1193168788423921664,1193439729963937792,,INTENDED
135,ABACD,1ST,1191121539107819525,1191072787743543296,1191121433713369088,1191072200259964928,INTENDED
136,ABAB,1ST,1197962035331399680,1197955240307220480,1197955487720988672,1111003885492191233,INTENDED
137,AB,2ND,1196466209421758467,1196417905992388615,,,PERCEIVED
138,ABACDEF,1ST,1200890333208297472,1200852240128299008,1200887673063231488,1200831274832691200,INTENDED
139,ABAC,1ST,1193690484746551301,1193687896517005312,1193689349621108736,1193687772264988672,INTENDED
140,ABC,3RD,1195794851545128962,1195620960579325954,1195794033760714752,,PERCEIVED
141,AABCBC,1ST,1190416284078481408,1190313709303926786,,1189444481109463040,INTENDED
142,ABA,1ST,1201750160142950400,1201606941329567744,1201736776420921344,,INTENDED
143,ABAC,1ST,1191500814210281475,1191455799421345792,1191499552014163968,1191407402958106626,INTENDED
144,ABABCD,1ST,1200661069351534593,1200644131053285376,1200658426038308864,1200634469369208832,INTENDED
145,AB,2ND,1191189776260640769,1191066091323379712,,,PERCEIVED
146,ABAB,1ST,1198883868872499200,1198882823706415105,1198883305313243136,1198882014319001601,INTENDED
147,AB,2ND,1194432419971129344,1194409249750896640,,,PERCEIVED
148,ABCAD,1ST,1202673616187322369,1202650411422736385,,1202623528429854720,INTENDED
149,ABAC,1ST,1197102591186030593,1197090295575384064,1197095701722759168,1197084716891029504,INTENDED
150,AB,2ND,1196986244854509568,1196853960365072384,,,PERCEIVED
151,ABA,1ST,1191207438608822272,1191203438446559233,1191205840398831616,,INTENDED
152,AAB,1ST,1192938895375249408,1192929326666309632,,1192928419593555970,INTENDED
153,ABA,2ND,1186365481931788288,1186364522430455809,,1186339932568113152,PERCEIVED
154,AB,2ND,1188838820998868992,1188838653734408193,,,PERCEIVED
155,ABC,3RD,1197468923261804544,1197417604169617408,1197463393441140736,,PERCEIVED
156,ABABC,1ST,1199873423146532864,1199872214260076544,1199873179356930049,1199871644258439169,INTENDED
157,AB,2ND,1199002461786320901,1198941015211675648,,,PERCEIVED
158,ABAC,1ST,1191939344950579200,1191925506670772231,1191938570094891008,1191713293951545345,INTENDED
159,ABC,3RD,1191962180700319746,1191948110269952000,1191961821936332801,,PERCEIVED
160,ABAB,1ST,1186987930373328897,1186980307603341314,1186987691692281856,1186969530976702466,INTENDED
161,ABC,3RD,1195161752499081217,1195117222613659656,1195159548174241793,,PERCEIVED
162,ABA,1ST,1185706364968099840,1185580515694469125,1185698279566262272,,INTENDED
163,ABA,1ST,1190378908035829761,1190301369518960641,1190370712491417600,,INTENDED
164,AB,2ND,1201391459552780289,1196198513404719104,,,PERCEIVED
165,ABAC,1ST,1191747712334602240,1191742874569842690,1191745155809845248,1191325224157024257,INTENDED
166,ABAC,1ST,1197511352543301632,1197461850226667520,1197492710434918401,1197301795971710976,INTENDED
167,ABACD,1ST,1192596168850706432,1192555482659078146,1192595486701690880,1192543666545532928,INTENDED
168,ABAB,1ST,1188556806819385346,1188554599877238791,1188555997801078787,1188544188121518082,INTENDED
169,ABAC,1ST,1198974332007043074,1198933010533568516,1198948556838752258,1198932325121318912,INTENDED
170,ABAC,1ST,1193363107092946944,1193360096782209024,1193361276975628288,1193213584098123781,INTENDED
171,ABAB,1ST,1198710877874077696,1198700518513598464,1198707754078068736,1198638501371138049,INTENDED
172,ABCA,3RD,1200852000570826752,1200477965840244736,1200844900906020864,1200477584988999685,PERCEIVED
173,ABABC,1ST,1201705671776985088,1201609360293711878,1201698481208999936,1201588620152455168,INTENDED
174,AB,2ND,1202682784222978050,1202681620492238848,,,PERCEIVED
175,ABA,1ST,1198138792739299328,1198098000503091200,1198129920532201472,,INTENDED
176,ABA,2ND,1199077905218916353,1199077801086861317,,1199056523193995266,PERCEIVED
177,ABAC,1ST,1202380083236765696,1202335448875425797,1202376529398960129,1202332018794586112,INTENDED
178,ABAB,1ST,1193524988407664640,1193520667678912512,1193524548400013312,1193516637300936704,INTENDED
179,ABCB,3RD,1202042367710240773,1202041109393920001,1202042061651955713,1202040805042610178,PERCEIVED
180,ABABB,1ST,1197549359027458048,1197546277677879297,1197548063566393345,1193223620136333312,INTENDED
181,ABAB,1ST,1190793421042176002,1190419420008591360,1190523735381553152,1190413408262336519,INTENDED
182,ABAB,1ST,1187321052143280128,1187320834865672192,1187320971784605697,1187320185264443393,INTENDED
183,ABA,1ST,1185703763534893056,1185500377241784320,1185700443399303169,,INTENDED
184,ABAC,1ST,1188115530621829120,1188114240667824128,1188114742981754880,1187897421101182976,INTENDED
185,ABA,1ST,1192318446580617216,1191816722291945472,1192289495166570496,,INTENDED
186,AB,2ND,1191491746557054976,1191490070680920070,,,PERCEIVED
187,ABAC,1ST,1200379365114236929,1200376124007682048,1200378984170754048,1200307406393225216,INTENDED
188,ABA,2ND,1198789312080437253,1198788128275718144,,1198786492430213120,PERCEIVED
189,ABA,1ST,1186873316436578304,1186526076555747329,1186851286685229056,,INTENDED
190,AB,2ND,1198311197046648832,1198307938697392131,,,PERCEIVED
191,ABAC,1ST,1188887040550752262,1188882720304312320,1188885342516056066,1188252615777214466,INTENDED
192,ABCB,3RD,1192493808539308033,1192485765579587585,1192493352379244545,1192277888621367298,PERCEIVED
193,ABCB,3RD,1199412865402392576,1199412327067660288,1199412546983407621,1199411385232482304,PERCEIVED
194,ABABC,1ST,1187008077184323584,1186722647549370369,1186980974824955904,1186503496381677568,INTENDED
195,AB,2ND,1201261257363509248,1201254594690650112,,,PERCEIVED
196,ABAB,1ST,1187385955574960130,1187381689468669954,1187382242038800385,1187238282108686336,INTENDED
197,ABAB,1ST,1196418605618991108,1196418065996619776,1196418483124416521,1196417151860649984,INTENDED
198,ABA,2ND,1194110021799497734,1194109804295467009,,1194109378263232512,PERCEIVED
199,ABABCC,1ST,1190205572265717761,1190186547666182144,1190198444327129088,1190173767470854144,INTENDED
200,ABC,3RD,1189002997243604998,1188998272733667328,1188998877564882944,,PERCEIVED
201,ABACD,1ST,1189980673328787457,1189969181850185730,1189969549174722560,1189935173342654464,INTENDED
202,ABAB,1ST,1193543381592477696,1193542375894859777,1193542932588052482,1193541909005946886,INTENDED
203,AB,2ND,1200281120790712321,1200226908803403776,,,PERCEIVED
204,ABAC,1ST,1191754555094130689,1191731928002641924,1191752001211625472,1191507382624538624,INTENDED
205,AB,2ND,1185680139306328066,1185671565675028488,,,PERCEIVED
206,ABC,3RD,1193451094770438145,1193420521154732033,1193450519957770240,,PERCEIVED
207,ABC,3RD,1196054917791854592,1195814127718916096,1196040338626039808,,PERCEIVED
208,ABC,3RD,1191829612759863296,1191790673546141699,1191816980879179777,,PERCEIVED
209,AB,2ND,1187956354155188229,1187955516288487425,,,PERCEIVED
210,ABAC,1ST,1192073605795987456,1191802656228093955,1191941731534680064,1191782683744952320,INTENDED
211,ABBABC,1ST,1194417951912259584,1194369164917366784,,1194300370329231360,INTENDED
212,ABACD,1ST,1193448249010655232,1193108036178644992,1193265678087835649,1192215286256144384,INTENDED
213,ABA,1ST,1197890497181880321,1197867501129998342,1197868001191714824,,INTENDED
214,AB,2ND,1202508748205543424,1201756623183720448,,,PERCEIVED
215,ABA,2ND,1198824865857515520,1198824667676626944,,1198821444370731011,PERCEIVED
216,ABABCD,1ST,1201977772530454529,1201975708488290304,1201976498133127170,1201952405899948034,INTENDED
217,ABBAC,1ST,1202563624662900736,1202536391500083201,,1202351709835714560,INTENDED
218,ABCA,3RD,1201000690136436736,1200999281810784256,1201000061733195776,1200780167284572161,PERCEIVED
219,ABAB,1ST,1201645805360140288,1201645204823871488,1201645446889762817,1201640545463889921,INTENDED
220,ABACD,1ST,1196180427955826690,1196137558398226433,1196177213818855424,1196090299195543557,INTENDED
221,ABA,1ST,1198146760327102464,1198146423868416002,1198146510589837313,,INTENDED
222,ABA,1ST,1187086808976412673,1186839222168313859,1187083233336446977,,INTENDED
223,ABC,3RD,1186541529978019841,1185462437971189760,1185569733762043904,,PERCEIVED
224,ABABABC,3RD,1197984174088560640,1197946364669370368,,,PERCEIVED
225,ABACBDE,1ST,1201621669959348226,1201612693049872384,1201613397705576449,1201607609687707650,INTENDED
226,ABACA,3RD,1195073251657101315,1195007903335407616,1195070737926647808,1194662135986577408,PERCEIVED
227,ABABC,1ST,1197107346532655106,1197105792161325059,1197106614039449600,1197102772941926400,INTENDED
228,ABABCBD,1ST,1202038790769889280,1202038024969715713,1202038441124327424,1202036876946788353,INTENDED
229,AB,2ND,1192416401916669953,1192410575181144065,,,PERCEIVED
230,ABAB,1ST,1194691431421693953,1194639940728053760,1194641912654913536,1194622633863720960,INTENDED
231,ABACD,1ST,1199113084637339649,1199027659436544000,1199111688303390728,1198989622858207233,INTENDED
232,AB,2ND,1197985248761520130,1197983480228900864,,,PERCEIVED
233,ABAC,1ST,1194412923487211520,1194241097473699841,1194411680916217857,1194074269828993024,INTENDED
234,AA,1ST,1191063208234278919,1191062449123971073,,,INTENDED
235,ABAC,1ST,1189159903144878080,1189151434085941250,1189159633077854213,1164419315405414402,INTENDED
236,ABBAC,3RD,1197365695006162944,877646379681796096,,,PERCEIVED
237,ABAC,1ST,1202357945457152000,1202339683180654593,1202357586848354304,1202253600736661506,INTENDED
238,ABAB,1ST,1199651924083138561,1199649655115702273,1199651318438268928,1199648228599324672,INTENDED
239,ABABC,1ST,1187420506506567680,1187411335920918528,1187415173432315905,1187345456373911555,INTENDED
240,ABACDE,1ST,1192549950644637696,1192530699443589120,1192549344790102016,1192482439819599875,INTENDED
241,ABA,2ND,1199344463627223042,1199343221328887808,,1199127191231053824,PERCEIVED
242,ABC,3RD,1188585388736155649,1188557854170595328,1188584147670962176,,PERCEIVED
243,ABBC,3RD,1195881661881151488,1195187714221432832,,,PERCEIVED
244,ABACD,1ST,1201366690161815552,1201313248596807680,1201330089729961984,1201011923405271040,INTENDED
245,ABAC,1ST,1193866578569449472,1193603729733406720,1193662825929027584,1193392259359576064,INTENDED
246,ABAC,1ST,1200309366672568320,1199751936746164232,1200303077221384197,1199691391967862784,INTENDED
247,ABA,1ST,1186627427461562372,1186625794237317120,1186625932766744578,,INTENDED
248,ABAB,1ST,1193790011814137856,1193776339427438593,1193787946849177600,1193769113396633601,INTENDED
249,ABABCD,1ST,1194997295470829569,1194975339396632577,1194996659542999042,1194894025238728704,INTENDED
250,AB,2ND,1201614477172580353,1201610247468650497,,,PERCEIVED
251,ABA,1ST,1188782671452954626,1188651185626071041,1188768252593393664,,INTENDED
252,ABAC,1ST,1194661280847667207,1194466130775171072,1194652604145577987,1194408521435172864,INTENDED
253,AB,2ND,1202277965570150405,1202258947496972292,,,PERCEIVED
254,ABCACDCE,1ST,1190893547433660416,1190889349535150080,,1190878147081854981,INTENDED
255,ABA,2ND,1202395709334376449,1202395529650589696,,1202283441665921024,PERCEIVED
256,ABAC,1ST,1188405438208856064,1188334955606114304,1188403073254752256,1188306384795910144,INTENDED
257,AB,2ND,1196554878186905601,1195842786563624965,,,PERCEIVED
258,ABBAC,1ST,1190100419743121408,1189905061293383682,,1189355016710164481,INTENDED
259,ABCAD,1ST,1188621974194610176,1188572954415845376,,1188572712395927552,INTENDED
260,ABAC,1ST,1188825832812351489,1188807488851906560,1188817605571858434,1188523346822074368,INTENDED
261,AB,2ND,1194871893083467776,1194659503897268224,,,PERCEIVED
262,ABA,1ST,1194436658759901184,1194435363122626560,1194436408343252993,,INTENDED
263,AB,2ND,1186938943356329984,1175198033916682240,,,PERCEIVED
264,ABAC,1ST,1196632258305617920,1196458314080509952,1196630150059905024,1196443393892769793,INTENDED
265,AB,2ND,1202407169834045440,1202405894870335488,,,PERCEIVED
266,ABAB,1ST,1201355751299670016,1201238171654262785,1201290207208857601,1201228246471315457,INTENDED
267,AB,2ND,1194807016813924353,1194455718566518784,,,PERCEIVED
268,ABABCB,1ST,1201267264546394115,1201266431213678592,1201266860202876928,1201264307423600642,INTENDED
269,ABAB,1ST,1193882146483650565,1193881911996715013,1193882073976586245,1193881804211539968,INTENDED
270,ABACD,1ST,1196892010931732481,1196576777986019328,1196891294657916933,1196553226948100098,INTENDED
271,ABACDCE,1ST,1190331172213137410,1190324324860870662,1190330851378302976,1190324221408362497,INTENDED
272,AB,2ND,1199035037024473088,1198921338599002112,,,PERCEIVED
273,ABAB,1ST,1200666912100892673,1200666503437262848,1200666765983911941,1189865124783370240,INTENDED
274,AB,2ND,1197967261912510465,1197966629776347136,,,PERCEIVED
275,ABCA,3RD,1202814270624411648,1202762104161341440,1202814159152390144,1202720056356024323,PERCEIVED
276,ABAC,1ST,1195513115863134208,1195497185682640898,1195505481235804161,1195492881131352064,INTENDED
277,ABACD,1ST,1196051707425370112,1196015394827452417,1196043310927888385,1196012321220546561,INTENDED
278,ABA,1ST,1186182307423674368,1185854918629965825,1186107548610551808,,INTENDED
279,AB,2ND,1195112157727191040,1194914509233807360,,,PERCEIVED
280,AB,2ND,1193706464382197763,1193703801720647681,,,PERCEIVED
281,ABAB,1ST,1196127460426964992,1196124698461065216,1196126047722455043,1196110934634323969,INTENDED
282,ABAC,1ST,1192045967266209793,1192036359487266816,1192040710008197120,1191771655338647552,INTENDED
283,ABAB,1ST,1202827015319101440,1202826305751961600,1202826492893388801,1202825486596034560,INTENDED
284,AB,2ND,1189721016454569984,1108965634581266432,,,PERCEIVED
285,ABCAD,1ST,1201141764536578049,1201016727879987201,,1200939057070690305,INTENDED
286,ABA,1ST,1197781460029202432,1197763204648251392,1197779806995275776,,INTENDED
287,AAB,1ST,1200963026574295042,1200962823670697984,,1200962579809624065,INTENDED
288,ABAC,1ST,1200547777861836801,1200542940701036550,1200545810837991425,1200541968104857601,INTENDED
289,AB,2ND,1202612508474970122,1202403589681041409,,,PERCEIVED
290,ABAC,1ST,1195041034138464257,1194640878398246916,1195009716021272578,1194624947336794113,INTENDED
291,ABA,1ST,1200263194310254592,1200261534598991874,1200262537884946432,,INTENDED
292,AB,2ND,1195860306397990915,1195860090823348224,,,PERCEIVED
293,ABA,2ND,1189904859350351872,1189904156410163201,,1189896507627053056,PERCEIVED
294,ABACDDCDCDC,1ST,1198815214390505473,1198806953146716162,1198814710608650242,1198804772050087936,INTENDED
295,ABAC,1ST,1195418962714091520,1195417957767303168,1195418706421137409,1195375659780132866,INTENDED
296,ABAB,1ST,1185641435900592128,1185632845156536321,1185641303285161989,1185632475722240001,INTENDED
297,AB,2ND,1197316839543582720,1197280987543146499,,,PERCEIVED
298,AB,2ND,1199024992786272256,1198969245524267015,,,PERCEIVED
299,ABAC,1ST,1199048314081218560,1199043770454626313,1199047656141737985,1199041553014181894,INTENDED
300,ABAB,1ST,1191557775190626304,1191554429998243840,1191556646926999552,1191550416032534528,INTENDED
301,ABABC,1ST,1185957984435761152,1185954456099115009,1185956363769470976,1185951888421871619,INTENDED
302,AB,2ND,1191189236613046272,1191188115949420546,,,PERCEIVED
303,ABABC,1ST,1192182852890181632,1192182061332869120,1192182659918655488,1192181551607382016,INTENDED
304,ABA,2ND,1196418317029924864,1196418134837776385,,1196417295331008512,PERCEIVED
305,ABAC,1ST,1191726126978207744,1191724279903215616,1191724378725203972,1191724025824841730,INTENDED
306,ABC,3RD,1200570289303588865,1200504907503030273,1200519072284381184,,PERCEIVED
307,ABAC,1ST,1186368470751072256,1186117738852503553,1186314979944943616,1186114741909032965,INTENDED
308,ABA,1ST,1193170538169896962,1193169907870908416,1193170081145995264,,INTENDED
309,ABA,2ND,1197536232055754754,1197527642720866304,,1197406976369668096,PERCEIVED
310,AB,2ND,1189216200871628809,1189190446733381632,,,PERCEIVED
311,AABC,1ST,1197231182296973313,1197206666288099328,,1197203452646035456,INTENDED
312,ABAC,1ST,1198672440064454657,1198445507871432705,1198555689867603968,1198419210818457600,INTENDED
